???? ??????,???? ??? ??????,?? ?????,???,?? ????? ?????,????/????,?????,???? ????,???? ??????/????,???? ????,???? ???? ???'
43,15,??????? - ?????? ???? ??????,7296073237440,,,,,,,
44,15,???????,5391523058087,,,,,,,
45,15,?????,7290013083661,,,,,,,
46,16,????? ????? ?????? 200 ?',7296073348191,,,,,,,
47,16,??? 200 ?',7290102394821,,,,,,,
48,16,??? 200 ?',4122270,,,,,,,
49,17,????? ????? ???? 28%,9956887,,,,,,,
50,17,??? ???? 28%,7290102395408,,,,,,,
51,17,??? ???? 28%,55350,,,,,,,
52,18,???? ???? 250 ?',7296073366393,,,,,,,
53,18,???? ???? ?????,5740900403222,,,,,,,
54,18,???? ???? ????????,7290108501773,,,,,,,
55,19,???????,7296073344421,,,,,,,
56,19,??????? ???-???,110059,,,,,,,
57,19,??????? ?????,453880,,,,,,,
58,20,???? ?????? 15%,7296073236603,,,,,,,
59,20,??? ????,4125721,,,,,,,
60,20,???? ?????? ?????,7290105362339,,,,,,,
61,21,???? ????? ????? 38%,7296073231561,,,,,,,
62,21,??? ????,43814,,,,,,,
63,21,???? ????? ?????,7290104728310,,,,,,,
64,22,"???????? ???? 1 ?""?",7296073222279,,,,,,,
65,22,???????,530468,,,,,,,
66,22,???? ???,7290013906212,,,,,,,
67,23,???????? ???? 400 ?',7296073367154,,,,,,,
68,23,???????,7290012226007,,,,,,,
69,23,????? ???,552118,,,,,,,
70,24,5 ?????,9398786,,,,,,,
71,24,????? ?????,3217014,,,,,,,
72,24,???? ????,497204,,,,,,,
73,25,6 ???????,7296073225072,,,,,,,
74,25,????,497228,,,,,,,
75,25,???'?,2065555,,,,,,,
76,26,????? 1 ?',7296073322580,,,,,,,
77,26,????? ????,4658625,,,,,,,
78,26,??? ???? ?????? ???,24530,,,,,,,
79,27,??? ????????,7296073009771,,,,,,,
80,27,??????,2331322,,,,,,,
81,27,?? ???,688732,,,,,,,
82,28,??? ???,7296073219255,,,,,,,
83,28,??? ??? ????,176420,,,,,,,
85,29,??? ?????,7296073134534,,,,,,,
86,29,??? ????? ????,7290106521926,,,,,,,
88,30,?? ???? 25 ??',7296073323044,,,,,,,
89,30,???????,6251275,,,,,,,
90,30,?????? 20 ??',8690637688195,,,,,,,
91,31,???? ???? 500 ?',7296073362036,,,,,,,
92,31,??????? ????,174723,,,,,,,
94,32,"????? ?????? 1 ?""?",7296073224600,,,,,,,
95,32,????? ????,2987963,,,,,,,
96,32,????? ???,3727667,,,,,,,
97,33,????? 30% ????? 400 ???,7296073365662,,,,,,,
98,33,????? ???? 30% ?????,7290110564339,,,,,,,
99,33,?????????? ???,7290109351025,,,,,,,
100,34,???? ???? 400 ???,7296073328940,,,,,,,
101,34,???? ???? ????,2825722,,,,,,,
102,34,???? ???? ???,7290106577541,,,,,,,
103,35,?????? 400 ???,7296073225768,,,,,,,
104,35,?????? ????,7290010931330,,,,,,,
105,35,?????? ???,7290111563492,,,,,,,
106,36,???? ??????? ?????,7296073225461,,,,,,,
107,36,???? ????? ??????,2129479,,,,,,,
108,36,???? ??????,7290014218130,,,,,,,
109,37,????? ???? 750 ???,7296073204879,,,,,,,
110,37,????? ???? ?????,300900,,,,,,,
111,37,????? ???? ???????,6742209,,,,,,,
112,38,??? ???? ??? ????,7296073021568,,,,,,,
113,38,??? ??? ???,3107216,,,,,,,
115,39,??? ????,7296073021575,,,,,,,
116,39,??? ???? ????,7290100702383,,,,,,,
117,39,??? ???? ???,63157,,,,,,,
118,40,??? ????? 1 ?',7296073033752,,,,,,,
119,40,??? ????? ?? ????,144474,,,,,,,
120,40,??? ????? ?????,8410179014821,,,,,,,
121,41,??? ??? 750 ?',7296073223009,,,,,,,
122,41,??? ??? ?? ????,7290017142128,,,,,,,
123,41,??? ??? ?? ?????,7290010429554,,,,,,,
124,42,??????,7296073129448,,,,,,,
125,42,?????? ???,60200,,,,,,,
126,42,?????? ????,7290100702628,,,,,,,
127,43,???? 1 ????,7296073286011,,,,,,,
128,43,???? ???? ????? ????,211442,,,,,,,
129,43,???? ???????,8901537024014,,,,,,,
130,44,???? ??? 400 ???,7296073346814,,,,,,,
131,44,???? ??? ???,3514007,,,,,,,
132,44,???? ??? ???,63140,,,,,,,
133,45,????? ??????,7296073244875,,,,,,,
134,45,????? ?????? ?????,112220,,,,,,,
135,45,????? ???????,7290010627004,,,,,,,
136,46,????? ????? 500 ?',7296073205081,,,,,,,
137,46,????? ????,111186,,,,,,,
138,46,????? ?????,120836,,,,,,,
139,47,??? ??????? 22% 260 ?,7296073225492,,,,,,,
140,47,??? ??????? ??????,2019787,,,,,,,
141,47,??? ??????? ??????,207063,,,,,,,
142,48,???? ???? ?????,7296073206682,,,,,,,
143,48,???? ??????,2929642,,,,,,,
144,48,???? ????????,5287206,,,,,,,
145,49,??? ???? 350 ?',7296073078579,,,,,,,
146,49,??? ?? ?????,2130567,,,,,,,
147,49,??? ??? ???,2479352,,,,,,,
148,50,????? ???? 6 ??',7296073230656,,,,,,,
149,50,????? ???? ?????,188355,,,,,,,
150,50,????? ???? ???,5427107,,,,,,,
151,51,???? ?????? ???? 750 ??,7296073230731,,,,,,,
152,51,???? ???? ?????,4084500088917,,,,,,,
153,51,???? ???? ???????,2730262,,,,,,,
154,52,????????? 4 ?',7296073362630,,,,,,,
155,52,????????? ??? ?????,1713853,,,,,,,
156,52,????????? ???? ???,1791349,,,,,,,
157,53,???? ????? 2.5 ????,7296073219118,,,,,,,
158,53,??? ????? ?????,7290108201437,,,,,,,
159,53,???? ????? ???,7290012116537,,,,,,,
160,54,???? ????? 4 ?',7296073231288,,,,,,,
161,54,???? ????? ????,342856,,,,,,,
162,54,???? ????? ???,5423734,,,,,,,
163,55,???? ????? 32 ??????,7296073272496,,,,,,,
164,55,???? ????? 32 ??' ?????,262031,,,,,,,
165,55,???? ????? 32 ??' ???,7290012823602,,,,,,,
166,56,???? ????? 48 ??????,7296073241935,,,,,,,
167,56,???? ????? 48 ??' ?????,262239,,,,,,,
168,56,???? ????? 48 ??' ???,7290011598457,,,,,,,
169,57,????????,7296073150527,,,,,,,
170,57,???????? ????,7290107647755,,,,,,,
171,57,???????? ?????,2543237,,,,,,,
172,58,?????? ???? ???? 3 ??',7296073197478,,,,,,,
173,58,?????? ??? ???? ????,7290100852576,,,,,,,
174,58,?????? ???? ??? ????? ???? 5 ??',7290112491541,,,,,,,
175,59,??????? ??????,7296073091189,,,,,,,
176,59,??????? ???-????,420332,,,,,,,
177,59,??????? ???-???,5701932026971,,,,,,,
178,60,?????? 500 ?',7296073220275,,,,,,,
179,60,?????? ????,174099,,,,,,,
181,61,??? ?? 500 ?',7296073218753,,,,,,,
182,61,??? ?? ???,74184,,,,,,,
183,61,??? ?? ????,1813881,,,,,,,
